food,price,availibility,type,imageURL,__v,description
Rajma Chawal,79,62,Indian,https://server.testdomainofpuspendu.xyz/food-types/indian/rajma_chawal.png,0,"Delight in the heartiness of Rajma Chawal! This North Indian classic features red kidney beans (rajma) cooked in a flavorful, aromatic gravy, served alongside steamed basmati rice (chawal). The rich and savory tomato-based curry, infused with a medley of spices, complements the wholesome goodness of the protein-packed kidney beans. Rajma Chawal is a soul-satisfying dish that offers a perfect balance of textures and flavors, making it a beloved comfort food. Experience the joy of indulging in this hearty and wholesome combination that embodies the essence of Indian home-cooked meals."
Aloo Gobi,68,93,Indian,https://server.testdomainofpuspendu.xyz/food-types/indian/aloo_gobi.png,0,"Savor the homely comfort of Aloo Gobi! This classic Indian dish combines tender cauliflower florets and potato chunks, expertly spiced and cooked to perfection. Each bite is a harmonious blend of earthy potatoes and the mild nuttiness of cauliflower, infused with aromatic spices. Aloo Gobi's simplicity and heartwarming flavors make it a staple in Indian households. Enjoy this vegetarian delight served hot with naan or rice, and relish the wholesome goodness of this delectable dish that captures the essence of home-cooked comfort."
Matar Paneer,72,69,Indian,https://server.testdomainofpuspendu.xyz/food-types/indian/matar_paneer.png,0,"Delight in the rich flavors of Matar Paneer! Succulent cubes of paneer mingle with vibrant green peas, bathed in a luscious tomato-based gravy. This North Indian classic is a symphony of spices, delivering a burst of aromatic joy in every bite. A true culinary masterpiece that captivates the palate."
Palak Paneer,76,95,Indian,https://server.testdomainofpuspendu.xyz/food-types/indian/palak_paneer.png,0,"Indulge in the vibrant hues and exquisite taste of Palak Paneer! Velvety spinach puree envelops tender cubes of paneer, creating a symphony of flavors. This North Indian delicacy, enriched with aromatic spices, is a green haven of wholesome goodness that tantalizes the taste buds with every forkful."
Aloo Palak,57,97,Indian,https://server.testdomainofpuspendu.xyz/food-types/indian/aloo_palak.png,0,"Savor the simplicity and wholesomeness of Aloo Palak! Tender potatoes mingle with vibrant spinach, creating a green medley that's as nourishing as it is delicious. Infused with aromatic spices, this North Indian classic offers a delightful harmony of flavors that will leave you craving more."
Bhindi Masala,70,67,Indian,https://server.testdomainofpuspendu.xyz/food-types/indian/bhindi_masala.png,0,"Elevate your taste buds with the aromatic allure of Bhindi Masala! Fresh okra, lovingly spiced and pan-roasted to perfection, invites you to a flavor-packed journey. This North Indian delicacy showcases the rich tapestry of spices, transforming humble ladyfinger into a culinary masterpiece that's a feast for both the eyes and palate."
Chana Masala,55,70,Indian,https://server.testdomainofpuspendu.xyz/food-types/indian/chana_masala.png,0,"Immerse yourself in the heartwarming embrace of Chana Masala! Hearty chickpeas, simmered in a tantalizing blend of aromatic spices, create a robust and flavorful experience. This North Indian classic is a culinary symphony that celebrates the wholesome goodness of chickpeas, inviting you to savor every spoonful of this comforting delight."
Chole Paneer,60,85,Indian,https://server.testdomainofpuspendu.xyz/food-types/indian/chana_paneer.jpg,0,"Elevate your culinary experience with the enticing fusion of Chole Paneer! Plump chickpeas and velvety paneer unite in a symphony of spices, creating a dish that's rich, savory, and utterly satisfying. This North Indian delight promises a burst of flavors that will leave your taste buds dancing with joy."
Chole Kulche,80,67,Indian,https://server.testdomainofpuspendu.xyz/food-types/indian/chole_kulche.png,0,"Embark on a street food adventure with the tantalizing Chole Kulche! Spicy and robust chickpeas, cooked to perfection, pair harmoniously with soft, fluffy kulchas. This popular North Indian street snack delivers a medley of flavors, offering a delightful burst of tanginess and spice that captivates the senses with every bite."
Chole Bhature,90,55,Indian,https://server.testdomainofpuspendu.xyz/food-types/indian/chole_bhature.png,0,"Dive into the indulgent world of Chole Bhature! Soft, fluffy bhaturas join forces with spiced chickpeas, creating a symphony of flavors and textures. This North Indian classic is a celebration of indulgence, with the robust Chole complementing the airy Bhature for a culinary experience that's both hearty and satisfying."
